Institute ID,Name,City,State,Score,Rank,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),Category
IR-A-U-0439,Anna UniversityMore Details,Chennai,Tamil Nadu,48.73,18,46.6,25.5,58.1,52.83,80.87,Architecture
IR-A-U-0189,National Institute of Technology HamirpurMore Details,Hamirpur,Himachal Pradesh,48.59,19,44.44,51.07,59.84,58.42,27.9,Architecture
IR-A-U-0454,Hindustan Institute of Technology and Science (HITS)More Details,Chennai,Tamil Nadu,48.5,20,53.75,19.68,80.14,47.84,22.48,Architecture
IR-C-C-6355,Miranda HouseMore Details,Delhi,Delhi,77.23,1,79.15,58.22,85.65,76.4,77.87,College
IR-C-C-6415,Lady Shri Ram College For WomenMore Details,New Delhi,Delhi,72.08,2,74.77,10.88,95.54,75.11,91.38,College
IR-C-C-6377,Hindu CollegeMore Details,Delhi,Delhi,70.44,3,72.43,27.41,86.77,75.03,81.68,College
IR-C-C-22470,St. Stephen`s CollegeMore Details,Delhi,Delhi,69.67,4,77.03,24.86,73.89,68.8,97.78,College
IR-C-C-43921,Presidency CollegeMore Details,Chennai,Tamil Nadu,68.89,5,73.11,95.83,53.31,50.49,69.02,College
IR-C-C-44006,Loyola CollegeMore Details,Chennai,Tamil Nadu,68.03,6,64.59,91.7,54.97,47.02,100.0,College
IR-C-C-11881,St. Xavier`s CollegeMore Details,Kolkata,West Bengal,67.59,7,66.43,40.28,82.69,55.81,87.26,College
IR-C-C-11926,Ramakrishna Mission VidyamandiraMore Details,Howrah,West Bengal,67.59,7,79.96,37.48,91.42,29.09,42.3,College
IR-C-C-6425,Hans Raj CollegeMore Details,Delhi,Delhi,67.23,9,70.86,23.84,82.07,77.29,70.57,College
IR-C-C-41046,PSGR Krishnammal College for WomenMore Details,Coimbatore,Tamil Nadu,66.63,10,74.29,33.44,84.24,62.39,45.89,College
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary CollegeMore Details,Rahara,West Bengal,66.58,11,76.93,25.59,98.76,27.27,45.54,College
IR-C-C-6419,Shri Ram College of CommerceMore Details,Delhi,Delhi,66.29,12,72.84,0.9,88.69,76.76,71.69,College
IR-C-C-22462,Atma Ram Sanatan Dharm CollegeMore Details,New Delhi,Delhi,66.15,13,78.96,41.52,77.86,71.19,17.46,College
IR-C-C-6369,Sri Venkateswara CollegeMore Details,Delhi,Delhi,66.04,14,78.78,43.05,73.17,68.06,29.73,College
IR-C-C-6361,Deen Dayal Upadhyaya CollegeMore Details,New Delhi,Delhi,65.32,15,77.48,46.89,69.61,65.87,33.13,College
IR-C-C-6429,Gargi CollegeMore Details,Delhi,Delhi,64.53,16,78.61,13.75,81.26,70.78,36.27,College
IR-C-C-43965,Madras Christian CollegeMore Details,Chennai,Tamil Nadu,64.36,17,73.43,42.79,65.28,52.3,70.18,College
IR-C-C-6380,Acharya Narendra Dev CollegeMore Details,New Delhi,Delhi,63.1,18,81.75,20.99,75.77,66.26,16.77,College
IR-C-C-6385,Kirori Mal CollegeMore Details,Delhi,Delhi,62.58,19,74.4,35.39,66.93,70.67,37.12,College
IR-C-C-42814,Ramakrishna Mission Residential CollegeMore Details,Kolkata,West Bengal,62.36,20,74.01,25.8,86.23,26.12,47.24,College
IR-C-C-6432,Dyal Singh CollegeMore Details,New Delhi,Delhi,62.2,21,78.17,30.18,75.21,60.62,15.37,College
IR-C-C-36513,Thiagarajar CollegeMore Details,Madurai,Tamil Nadu,61.29,22,64.55,63.75,67.57,53.85,36.27,College
IR-C-C-43671,University CollegeMore Details,Thiruvananthapuram,Kerala,61.08,23,75.74,30.22,77.15,54.24,15.37,College
IR-C-C-16178,P. D. Patel Institute of Applied SciencesMore Details,Changa,Gujarat,61.01,24,69.83,70.61,68.62,50.31,2.99,College
IR-C-C-41124,PSG College of Arts and ScienceMore Details,Coimbatore,Tamil Nadu,60.74,25,60.37,40.51,73.95,51.98,68.22,College
IR-C-C-6367,Daulat Ram CollegeMore Details,Delhi,Delhi,60.4,26,70.94,7.1,85.1,72.61,24.33,College
IR-C-C-41189,Scott Christian CollegeMore Details,Nagercoil,Tamil Nadu,59.98,27,76.23,28.02,74.0,53.34,14.65,College
IR-C-C-11691,Rajagiri College of Social SciencesMore Details,Ernakulam,Kerala,59.36,28,80.03,3.22,81.9,53.96,10.04,College
IR-C-C-41126,Sri Krishna Arts and Science CollegeMore Details,Coimbatore,Tamil Nadu,58.56,29,67.18,4.32,89.33,63.91,23.16,College
IR-C-C-6353,Sri Guru Tegh Bahadur Khalsa CollegeMore Details,Delhi,Delhi,58.35,30,75.3,40.87,61.81,65.46,1.02,College
IR-C-C-35860,St. Joseph's CollegeMore Details,Tiruchirappalli,Tamil Nadu,58.27,31,64.14,43.88,65.15,44.31,53.12,College
IR-C-C-27608,Lady Irwin CollegeMore Details,Delhi,Delhi,58.25,32,61.21,26.83,80.42,62.48,34.05,College
IR-C-C-43964,Madras School of Social WorkMore Details,Chennai,Tamil Nadu,57.99,33,66.84,0.94,91.98,67.97,13.17,College
IR-C-C-41035,Government Arts CollegeMore Details,Coimbatore,Tamil Nadu,57.81,34,77.15,38.51,52.74,49.58,30.23,College
IR-C-C-6391,Maitreyi CollegeMore Details,New Delhi,Delhi,57.7,35,77.9,17.09,69.06,66.17,1.02,College
